estimand,unit,healthy,AD,fold,log2FC,p_perm
"per mast UMI  (adjusted, compositional)",10k UMI,0.05746377866484826,0.4686990098185872,8.156425155265673,2.8122704199291704,0.012443438914027148
"per mast CELL (unadjusted, absolute)",100 cells,0.5576208178438662,3.426192763368556,6.144305688974278,2.4035834360679074,0.030381383322559793
