term,log2FC,se_log2,ci_lo,ci_hi,p,content,arm,n_spots,donors
content,-0.028694275195954477,0.6416857938319567,-1.2863984311065897,1.2290098807146805,0.9643328688605323,Mast,Healthy,4010,6
content,0.6482977227355012,0.21441734108180982,0.22803973421515394,1.0685557112558486,0.0024984248646102557,Mast,AD_NL,3727,6
content,0.022785099073045382,0.1752231187626679,-0.3206522137017837,0.36622241184787446,0.8965389126585085,Mast,AD_LS,5625,7
content,-0.16164030072279062,0.35377029568762647,-0.8550300802705384,0.5317494788249572,0.6477375343298646,Fibroblasts,Healthy,4010,6
content,0.34270904713450356,0.22400291543753542,-0.09633666712306585,0.781754761392073,0.1260337618875873,Fibroblasts,AD_NL,3727,6
content,0.04267759675303419,0.13758380796006467,-0.2269866668486926,0.31234186035476097,0.7564138473347326,Fibroblasts,AD_LS,5625,7
content,0.32062541827623176,0.5876006844132979,-0.8310719231738322,1.4723227597262958,0.585305254977475,Keratinocytes,Healthy,4010,6
content,-0.08037091305844017,0.11810812067182687,-0.3118628295752208,0.15112100345834048,0.49619683461113495,Keratinocytes,AD_NL,3727,6
content,-0.34565022032469805,0.2280449742297339,-0.7926183698149766,0.10131792916558043,0.1295925066406355,Keratinocytes,AD_LS,5625,7
