arm,t9_mast,t9_tissue,mast_share_pct,mast_umi_share_pct
AD_LS,49.0,1844.0,2.6572668112798263,0.22486566462678492
AD_NL,58.0,1018.0,5.697445972495088,0.291675845343744
Healthy,3.0,104.0,2.8846153846153846,0.4061459743873053
