rule,mast_Healthy,t9pos_Healthy,pct_Healthy,mast_AD,t9pos_AD,pct_AD,odds_ratio,p_fisher
discovery rule (label AND >=2 markers),538,3,0.5576208178438662,3123,91,2.913864873519052,5.352352682497801,0.0005288357696681067
replication rule (>=2 markers AND tryptase),559,2,0.35778175313059035,3002,82,2.731512325116589,7.820890410958904,0.00011068828548151563
>=2 markers only,624,3,0.4807692307692308,3470,96,2.76657060518732,5.8897451096621225,0.00016678462177961256
