threshold_per10k,n_called,sensitivity,precision
0,4094,84.88291212613031,89.42354665363948
25,3858,84.41919777417111,94.37532400207361
50,3561,79.29515418502203,96.04043807919123
100,2721,61.25666589380941,97.09665564130835
200,1321,29.932761418965917,97.72899318697957
