cell_set,n_mast,cells_healthy,cells_ad,t9_healthy,t9_ad,rate_healthy,rate_ad,log2FC,p_perm
all marker-QC mast cells,3661,538,3123,3,107,0.05746377866484826,0.4686990098185872,2.8122704199291704,0.012443438914027148
excluding any T-cell transcript,3531,529,3002,3,97,0.05872427387435354,0.4531791216173916,2.7330775720801648,0.022139625080801553
excluding any T-cell or myeloid transcript,3187,481,2706,3,78,0.06809917055210267,0.41789132039727533,2.404244771457034,0.050096961861667746
excluding scrublet-flagged,3661,538,3123,3,107,0.05746377866484826,0.4686990098185872,2.8122704199291704,0.012443438914027148
