estimator,all_AD,all_Healthy,mast_AD,mast_Healthy,all_ratio_AD_over_H,mast_ratio_AD_over_H
pooled (mean over cells),4110.742060849832,2151.5099338856808,693.2565966612816,934.6393989983305,1.91063122512557,0.7417369708619783
library (median of library means),4292.030763935664,1564.020951734668,629.1492196878752,346.5625,2.7442284319627173,1.8153990108216416
