armp,mast_cells,t9_transcripts,t9_pos_cells,pct_cells_positive,transcripts_per_100_cells
AD,3123,107,91,2.913864873519052,3.426192763368556
Healthy,538,3,3,0.5576208178438662,0.5576208178438662
