gene,log2FC,p_perm,empirical_p
ACLY,1.530941946483523,8.080155138978668e-05,0.00028951939779965256
ADGRE5,1.3393009481832499,8.080155138978668e-05,0.00028951939779965256
ARPC5L,0.9826350547169223,8.080155138978668e-05,0.00028951939779965256
DCUN1D1,0.9544218570683454,8.080155138978668e-05,0.00028951939779965256
TNFRSF18,3.1973625178421705,8.080155138978668e-05,0.00028951939779965256
TOP2B,1.5050688398541618,8.080155138978668e-05,0.00028951939779965256
ABHD17B,-1.4190173710168816,8.080155138978668e-05,0.00028951939779965256
MLH3,2.3176887222868756,0.00016160310277957336,0.0023161551823972205
TMEM45A,2.102386927237186,0.00016160310277957336,0.0023161551823972205
PPA1,1.5718722105384049,0.00016160310277957336,0.0023161551823972205
EIF4G1,1.450053466244645,0.00016160310277957336,0.0023161551823972205
UBE2Q2,1.0765469223019253,0.00016160310277957336,0.0023161551823972205
COL3A1,3.363285588726988,0.00016160310277957336,0.0023161551823972205
ITK,1.8118756477168614,0.00016160310277957336,0.0023161551823972205
BCAR1,2.102386927237186,0.00016160310277957336,0.0023161551823972205
CTNNA1,1.6282976440012256,0.00016160310277957336,0.0023161551823972205
STK40,2.394994448454326,0.00016160310277957336,0.0023161551823972205
HIST1H2BN,-1.637932389429684,0.00016160310277957336,0.0023161551823972205
AP2B1,1.4157530086211236,0.00016160310277957336,0.0023161551823972205
DIS3,1.289933846979729,0.00024240465416936006,0.005790387955993051
GARS,1.5963252542629454,0.00024240465416936006,0.005790387955993051
NARF,-1.213179735317628,0.00024240465416936006,0.005790387955993051
PBX2,1.934442289923114,0.00024240465416936006,0.005790387955993051
MED30,-1.1220834740324888,0.00024240465416936006,0.005790387955993051
LZIC,-1.070620158393406,0.0003232062055591467,0.007237984944991315
DNM1L,0.946720619701552,0.0003232062055591467,0.007237984944991315
LPP,1.5469975418993769,0.0003232062055591467,0.007237984944991315
SNHG9,1.3052534673555714,0.0003232062055591467,0.007237984944991315
CHD6,-1.2402128634315968,0.0003232062055591467,0.007237984944991315
