population,log2FC_perUMI,p_perUMI,log2FC_perCELL,p_perCELL
Mast (SUBJECT),2.8122704199291704,0.012443438914027148,2.4035834360679074,0.030381383322559793
Fibroblasts,0.9079984999218015,0.23448610213316096,2.051147054821526,0.010827407886231415
Keratinocytes,0.25845657717940224,0.7243859082094376,1.3720167529614744,0.1535229476405947
T/NK,1.488088186259625,8.080155138978668e-05,2.0598076400092813,0.001292824822236587
Macrophages,2.05572249619674,0.024240465416936006,3.0880933003278486,0.013251454427925016
