cohort,donors_h,donors_a,mast_h,mast_a,cells_total,c_h,e_h,c_a,e_a,recovery_pct,qualifies,rate_h,rate_a,log2FC_perCELL,ci_lo_perCELL,ci_hi_perCELL,log2FC,se_log2,ci_lo,ci_hi,p,p_perCELL,I2_pct,I2_pct_perCELL
"Discovery (GSE204762, 3')",6.0,11.0,538.0,3123.0,280518.0,3.0,522068.0,107.0,2282915.0,1.3050855916554374,1.0,0.05746377866484826,0.4686990098185872,2.4035834360679074,0.8677156005346763,3.9394512716011385,2.8122704199291704,0.7836060385373629,1.2764025843959392,4.348138255462402,,,,
"REP2 (GSE153760 biopsies, 3' v3)",2.0,4.0,278.0,1101.0,31266.0,6.0,288701.0,38.0,1068669.0,4.41054180259707,1.0,0.20782747548501737,0.35558250496645827,0.5806891417129475,-0.6183954549972006,1.7797737384230956,0.6781797576864305,0.6117778554643613,-0.5209048390237175,1.8772643543965786,,,,
POOLED (fixed),,,,,,,,,,,,,,1.2710172416771028,0.3258669373548889,2.216167545999317,1.4863575859782152,0.4822195430215378,0.5412072816560013,2.4315078903004292,0.002053901239401771,0.008394792557402263,78.29960154724351,70.25797953438388
POOLED (random),,,,,,,,,,,,,,1.426371016614865,-0.35540894976762,3.20815098299735,1.6890498092290798,1.0655656134805431,-0.39945879319278493,3.777558411650944,0.11293897764449337,0.11663820643996294,78.29960154724351,70.25797953438388
