armp,umi_per_cell,genes_per_cell,TPSAB1_per_cell,TPSB2_per_cell,CPA3_per_cell
AD,731.0006404098623,398.56356067883445,3.989433237271854,9.353826448927313,1.4502081332052514
Healthy,970.3866171003717,477.35687732342006,4.537174721189591,11.156133828996282,1.721189591078067
