cohort,donors_healthy,donors_ad,mast_healthy,mast_ad,umi_healthy,umi_ad,t9_healthy,t9_ad,rate_healthy,rate_ad,log2FC,p_perm
"REP1 (GSE222840+GSE173205, 5')",4,5,27,91,20254,70878,0,2,0.0,0.2821750049380626,0.5147970563214265,0.7936507936507936
"REP2 (GSE153760 biopsies, 3' v3)",2,4,278,1101,288701,1068669,6,38,0.20782747548501737,0.35558250496645827,0.6781797576864305,0.8
